LL	ID	int	float	char	cadena	bool	void	if	else	while	do	return	break	continue	procedure	func	print	read	program	for	LNUM	LDEC	LCAD	LCAR	true	false	?	;	,	(	)	[	]	{	}	:	@	#	+	-	*	/	%	=	==	!=	<	>	<=	>=	&&	||	!	+=	-=	*=	/=	$
E	E1~E'	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	E1~E'	`	`	E1~E'	E1~E'	E1~E'	E1~E'	E1~E'	E1~E'	`	""""	""""	E1~E'	""""	`	`	`	`	""""	`	E1~E'	`	E1~E'	`	`	`	`	`	`	`	`	`	`	`	`	E1~E'	`	`	`	`	&
E'	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	?~E~:~E	&	&	`	&	`	`	`	`	&	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&
E1	E2~E1'	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	E2~E1'	`	`	E2~E1'	E2~E1'	E2~E1'	E2~E1'	E2~E1'	E2~E1'	""""	""""	""""	E2~E1'	""""	`	`	`	`	""""	`	E2~E1'	`	E2~E1'	`	`	`	`	`	`	`	`	`	`	`	`	E2~E1'	`	`	`	`	&
E1'	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&	&	&	`	&	`	`	`	`	&	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&&~E2~E1'	||~E2~E1'	`	`	`	`	`	&
E2	E3~E2'	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	E3~E2'	`	`	E3~E2'	E3~E2'	E3~E2'	E3~E2'	E3~E2'	E3~E2'	""""	""""	""""	E3~E2'	""""	`	`	`	`	""""	`	E3~E2'	`	E3~E2'	`	`	`	`	`	`	`	`	`	`	""""	""""	E3~E2'	`	`	`	`	&
E2'	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&	&	&	`	&	`	`	`	`	&	`	`	`	`	`	`	`	`	==~E3~E2'	!=~E3~E2'	<~E3~E2'	>~E3~E2'	<=~E3~E2'	>=~E3~E2'	&	&	`	`	`	`	`	&
E3	E4~E3'	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	E4~E3'	`	`	E4~E3'	E4~E3'	E4~E3'	E4~E3'	E4~E3'	E4~E3'	""""	""""	""""	E4~E3'	""""	`	`	`	`	""""	`	E4~E3'	`	E4~E3'	`	`	`	`	""""	""""	""""	""""	""""	""""	""""	""""	E4~E3'	`	`	`	`	&
E3'	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&	&	&	`	&	`	`	`	`	&	`	`	+~E4~E3'	-~E4~E3'	`	`	`	`	&	&	&	&	&	&	&	&	`	`	`	`	`	&
E4	E5~E4'	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	E5~E4'	`	`	E5~E4'	E5~E4'	E5~E4'	E5~E4'	E5~E4'	E5~E4'	""""	""""	""""	E5~E4'	""""	`	`	`	`	""""	`	E5~E4'	""""	E5~E4'	`	`	`	`	""""	""""	""""	""""	""""	""""	""""	""""	E5~E4'	`	`	`	`	&
E4'	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	&	&	&	`	&	`	`	`	`	&	`	`	&	&	*~E5~E4'	/~E5~E4'	%~E5~E4'	`	&	&	&	&	&	&	&	&	`	`	`	`	`	&
E5	Fa	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	Fa	`	`	Fa	Fa	Fa	Fa	Fa	Fa	""""	""""	""""	Fa	""""	`	`	`	`	""""	`	Fa	""""	OU~Fa	""""	""""	""""	`	""""	""""	""""	""""	""""	""""	""""	""""	OU~Fa	`	`	`	`	&
Fa	ID	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	read~(~E~)	`	`	LNUM	LDEC	LCAD	LCAR	true	false	""""	""""	""""	(~E~)	""""	`	`	`	`	""""	`	#~ID~(~Ag~)	""""	""""	""""	""""	""""	`	""""	""""	""""	""""	""""	""""	""""	""""	`	`	`	`	`	&
OU	""""	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	`	""""	`	`	""""	""""	""""	""""	""""	""""	`	`	`	""""	`	`	`	`	`	`	`	""""	`	-	`	`	`	`	`	`	`	`	`	`	`	`	!	`	`	`	`	&
